requisito,metodos,rota,endpoint,servicos_diretos,testes_de_servico_indiretos,observacao
UI-01 Navegacao operacional,GET,/,main.index,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,POST,/api/adiantamentos/,adiantamento.criar,AcessoEmpresaService.obter_escopo|AdiantamentoService.criar|AdiantamentoService.serializar,tests/test_fluxo_pdv_financeiro.py::test_adiantamento_em_produto_baixa_estoque_e_gera_financeiro|tests/test_fluxo_pdv_financeiro.py::test_resumo_folha_considera_adiantamento_em_dinheiro|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,GET,/api/adiantamentos/,adiantamento.listar,AcessoEmpresaService.obter_escopo|AdiantamentoService.listar,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,GET,/api/adiantamentos/auxiliares,adiantamento.auxiliares,AcessoEmpresaService.obter_escopo|AdiantamentoService.listar_auxiliares,tests/test_fluxo_pdv_financeiro.py::test_adiantamento_em_produto_baixa_estoque_e_gera_financeiro|tests/test_fluxo_pdv_financeiro.py::test_resumo_folha_considera_adiantamento_em_dinheiro|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,GET,/api/adiantamentos/resumo,adiantamento.resumo,AcessoEmpresaService.obter_escopo|AdiantamentoService.obter_resumo_folha,tests/test_fluxo_pdv_financeiro.py::test_resumo_folha_considera_adiantamento_em_dinheiro|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
FIN-01 Adiantamentos,GET,/api/adiantamentos/view,adiantamento.pagina,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
AUTH-01 Autenticacao,POST,/api/auth/funcionarios/<int:funcionario_id>/redefinicao,auth.emitir_redefinicao,AuthService.emitir_redefinicao,tests/test_sprint02_security.py::test_concurrent_reset_accepts_one_consumer|tests/test_sprint02_security.py::test_reset_token_is_hashed_tenant_bound_expiring_and_single_use,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-02 Categorias,POST,/api/categorias/,categoria.criar,CategoriaService.criar,tests/test_sprint03_transactions.py::test_category_validation_and_in_use_delete|tests/test_sprint03_transactions.py::test_export_formula_like_text_is_literal,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-02 Categorias,GET,/api/categorias/,categoria.listar,AcessoEmpresaService.obter_escopo|CategoriaService.listar,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-02 Categorias,PUT,/api/categorias/<int:categoria_id>,categoria.atualizar,CategoriaService.atualizar,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-02 Categorias,DELETE,/api/categorias/<int:categoria_id>,categoria.deletar,CategoriaService.deletar,tests/test_sprint03_transactions.py::test_category_validation_and_in_use_delete,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
CAD-02 Categorias,GET,/api/categorias/view,categoria.pagina,template/decorator/helper/consulta direta,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,POST,/api/clientes/,cliente.criar,ClienteService.criar|ClienteService.serializar_cliente,tests/test_fluxo_pdv_financeiro.py::test_cancelamento_parcial_de_item_reverte_estoque_e_ajusta_cashback|tests/test_fluxo_pdv_financeiro.py::test_cashback_respeita_limite_percentual_de_resgate_por_venda|tests/test_fluxo_pdv_financeiro.py::test_cliente_sem_vendas_serializa_total_zero|tests/test_fluxo_pdv_financeiro.py::test_disparo_coletivo_envia_apenas_para_clientes_elegiveis|tests/test_fluxo_pdv_financeiro.py::test_template_html_do_email_de_venda_usa_identidade_oceanblue|tests/test_fluxo_pdv_financeiro.py::test_venda_com_cliente_envia_email_automatico_e_registra_cashback|tests/test_fluxo_pdv_financeiro.py::test_venda_com_cliente_gera_cashback_e_historico|tests/test_fluxo_pdv_financeiro.py::test_venda_permanece_finalizada_quando_email_automatico_falha|tests/test_fluxo_pdv_financeiro.py::test_venda_pode_desativar_cashback_sem_afetar_carteira_existente,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,GET,/api/clientes/,cliente.listar,AcessoEmpresaService.obter_escopo|ClienteService.listar,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,PUT,/api/clientes/<int:cliente_id>,cliente.atualizar,ClienteService.atualizar|ClienteService.serializar_cliente,tests/test_fluxo_pdv_financeiro.py::test_cliente_sem_vendas_serializa_total_zero,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,DELETE,/api/clientes/<int:cliente_id>,cliente.deletar,ClienteService.deletar,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,GET,/api/clientes/<int:cliente_id>/carteira,cliente.obter_carteira,AcessoEmpresaService.obter_escopo|ClienteService.obter_carteira,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,GET,/api/clientes/<int:cliente_id>/historico-vendas,cliente.historico_vendas,AcessoEmpresaService.obter_escopo|ClienteService.obter_historico_vendas,tests/test_fluxo_pdv_financeiro.py::test_venda_com_cliente_gera_cashback_e_historico|tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,POST,/api/clientes/<int:cliente_id>/mensagens,cliente.enviar_mensagem,AcessoEmpresaService.obter_escopo|ClienteService.enviar_mensagem,tests/test_permissions_security.py::test_bootstrap_nao_reaplica_permissoes_removidas_da_role_existente|tests/test_permissions_security.py::test_login_nao_renderiza_configuracoes_e_bloqueia_url_direta|tests/test_permissions_security.py::test_login_nao_renderiza_financeiro_e_bloqueia_url_direta|tests/test_sprint02_security.py::test_cross_tenant_foreign_keys_and_company_admin_scope|tests/test_sprint02_security.py::test_import_quota_partial_rows_updates_and_password_policy|tests/test_sprint02_security.py::test_nonadmin_cannot_grant_roles_or_import_staff_even_with_permission,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
REL-01 Clientes e cashback,GET,/api/clientes/<int:cliente_id>/mensagens,cliente.listar_mensagens,ClienteService.listar_mensagens,LACUNA: sem teste direto de servico localizado,Vinculo estatico de servico; nao comprova cobertura HTTP desta rota
